policy,setting,coverage,subject,policy_accuracy,ra_accuracy,delta_vs_ra,late_session_acc,negative_windows,balanced_accuracy,macro_f1
d_tgt,retrospective,0.8,5,0.3125,0.3298611111111111,-0.017361111111111105,0.40625,5,0.3125,0.2904036474382678
d_tgt,retrospective,0.8,6,0.3125,0.3541666666666667,-0.041666666666666685,0.3125,5,0.3125,0.3051084995163739
d_tgt,retrospective,0.8,7,0.3923611111111111,0.3888888888888889,0.00347222222222221,0.3125,2,0.39236111111111116,0.38157704364600914
d_tgt,retrospective,0.8,8,0.5659722222222222,0.5451388888888888,0.02083333333333337,0.5625,1,0.5659722222222222,0.5190119487003341
d_tgt,retrospective,0.8,9,0.4444444444444444,0.4201388888888889,0.024305555555555525,0.3333333333333333,2,0.4444444444444445,0.46243372296404905
d_tgt,retrospective,0.9,1,0.5381944444444444,0.5520833333333334,-0.01388888888888895,0.5104166666666666,4,0.5381944444444444,0.5035759416912023
d_tgt,retrospective,0.9,2,0.2222222222222222,0.21875,0.00347222222222221,0.2708333333333333,3,0.2222222222222222,0.201363480987385
d_tgt,retrospective,0.9,3,0.6076388888888888,0.6527777777777778,-0.04513888888888895,0.5416666666666666,6,0.6076388888888888,0.6079791588881741
d_tgt,retrospective,0.9,4,0.3645833333333333,0.3854166666666667,-0.02083333333333337,0.375,4,0.36458333333333337,0.3049171902161087
d_tgt,retrospective,0.9,5,0.3368055555555556,0.3298611111111111,0.006944444444444475,0.40625,5,0.3368055555555555,0.30600259891387227
d_tgt,retrospective,0.9,6,0.2916666666666667,0.3541666666666667,-0.0625,0.3125,6,0.29166666666666663,0.2824009801562399
d_tgt,retrospective,0.9,7,0.3993055555555556,0.3888888888888889,0.010416666666666685,0.3125,2,0.3993055555555555,0.38664410640828384
d_tgt,retrospective,0.9,8,0.5590277777777778,0.5451388888888888,0.01388888888888895,0.5625,2,0.5590277777777778,0.5125682884867875
d_tgt,retrospective,0.9,9,0.4444444444444444,0.4201388888888889,0.024305555555555525,0.3333333333333333,2,0.4444444444444445,0.4611620453936405
kcar,near_causal,0.1,1,0.5416666666666666,0.5520833333333334,-0.01041666666666674,0.5,1,0.5416666666666666,0.5194904391736971
kcar,near_causal,0.1,2,0.2222222222222222,0.21875,0.00347222222222221,0.2708333333333333,0,0.22222222222222224,0.20879379711496499
kcar,near_causal,0.1,3,0.6631944444444444,0.6527777777777778,0.01041666666666663,0.6145833333333334,0,0.6631944444444444,0.6591477765390809
kcar,near_causal,0.1,4,0.3784722222222222,0.3854166666666667,-0.006944444444444475,0.4270833333333333,1,0.3784722222222222,0.34746303419962365
kcar,near_causal,0.1,5,0.3541666666666667,0.3298611111111111,0.02430555555555558,0.3854166666666667,0,0.3541666666666667,0.3517945075757576
kcar,near_causal,0.1,6,0.3576388888888889,0.3541666666666667,0.00347222222222221,0.3125,0,0.35763888888888884,0.34602274389352056
kcar,near_causal,0.1,7,0.3923611111111111,0.3888888888888889,0.00347222222222221,0.3125,0,0.3923611111111111,0.37788569158761465
kcar,near_causal,0.1,8,0.5381944444444444,0.5451388888888888,-0.00694444444444442,0.5416666666666666,1,0.5381944444444444,0.4737179487179487
kcar,near_causal,0.1,9,0.4270833333333333,0.4201388888888889,0.00694444444444442,0.3020833333333333,0,0.4270833333333333,0.4336518634450721
